127.0.0.1 - - [22/Aug/2021:19:48:32 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Aug/2021:19:48:34 +0530] "GET /Servlet_Skill4_S01/index.html HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [22/Aug/2021:19:48:36 +0530] "GET /Servlet_Skill4_S01/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:19:48:36 +0530] "GET /Servlet_Skill4_S01/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:19:48:36 +0530] "GET /Servlet_Skill4_S01/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:19:48:38 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Aug/2021:19:49:33 +0530] "GET /Servlet_Skill4_S01/superadminlogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:19:49:49 +0530] "POST /Servlet_Skill4_S01/checksuperadmin HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [22/Aug/2021:19:49:57 +0530] "POST /Servlet_Skill4_S01/checksuperadmin HTTP/1.1" 200 3571
0:0:0:0:0:0:0:1 - - [22/Aug/2021:19:50:01 +0530] "GET /Servlet_Skill4_S01/addtheatre.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:19:59:52 +0530] "GET /Servlet_Skill4_S01/addmovie.html HTTP/1.1" 200 7319
0:0:0:0:0:0:0:1 - - [22/Aug/2021:20:00:41 +0530] "GET /Servlet_Skill4_S01/addmovie.html HTTP/1.1" 200 7532
0:0:0:0:0:0:0:1 - - [22/Aug/2021:20:01:09 +0530] "GET /Servlet_Skill4_S01/addmovie.html HTTP/1.1" 200 7543
0:0:0:0:0:0:0:1 - - [22/Aug/2021:20:01:41 +0530] "GET /Servlet_Skill4_S01/addmovie.html HTTP/1.1" 200 7435
0:0:0:0:0:0:0:1 - - [22/Aug/2021:20:02:37 +0530] "GET /Servlet_Skill4_S01/addmovie.html HTTP/1.1" 200 7453
0:0:0:0:0:0:0:1 - - [22/Aug/2021:20:02:38 +0530] "GET /Servlet_Skill4_S01/addmovie.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:20:02:38 +0530] "GET /Servlet_Skill4_S01/addmovie.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:20:02:38 +0530] "GET /Servlet_Skill4_S01/addmovie.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:20:03:09 +0530] "GET /Servlet_Skill4_S01/addmovie.html HTTP/1.1" 200 7561
0:0:0:0:0:0:0:1 - - [22/Aug/2021:20:04:45 +0530] "GET /Servlet_Skill4_S01/addtheatre.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:20:04:48 +0530] "GET /Servlet_Skill4_S01/addtheatre.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:20:04:56 +0530] "GET /Servlet_Skill4_S01/addtheatre.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:20:04:57 +0530] "GET /Servlet_Skill4_S01/addtheatre.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:20:04:57 +0530] "GET /Servlet_Skill4_S01/addtheatre.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:20:04:57 +0530] "GET /Servlet_Skill4_S01/addtheatre.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2021:20:05:11 +0530] "GET /Servlet_Skill4_S01/addmovie.html HTTP/1.1" 200 7579
0:0:0:0:0:0:0:1 - - [22/Aug/2021:20:07:45 +0530] "GET /Servlet_Skill4_S01/addmovie.html HTTP/1.1" 200 7985
